[2024-12-23T20:05:06.337+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T20:09:33.238+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000117.mp3
[2024-12-23T20:09:35.504+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000118.mp3
[2024-12-23T20:09:37.792+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000119.mp3
[2024-12-23T20:09:40.085+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000120.mp3
[2024-12-23T20:09:42.439+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000121.mp3
[2024-12-23T20:09:44.832+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000122.mp3
[2024-12-23T20:09:47.126+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000123.mp3
[2024-12-23T20:09:49.405+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000124.mp3
[2024-12-23T20:09:51.689+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000125.mp3
[2024-12-23T20:09:53.989+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000126.mp3
[2024-12-23T20:09:56.283+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000127.mp3
[2024-12-23T20:09:58.568+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000128.mp3
[2024-12-23T20:10:00.880+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000129.mp3
[2024-12-23T20:10:03.305+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000130.mp3
[2024-12-23T20:10:05.540+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000131.mp3
[2024-12-23T20:10:07.814+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000132.mp3
[2024-12-23T20:10:10.200+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000133.mp3
[2024-12-23T20:10:12.487+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000134.mp3
[2024-12-23T20:10:14.743+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000135.mp3
[2024-12-23T20:10:17.103+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000136.mp3
[2024-12-23T20:10:19.377+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000137.mp3
[2024-12-23T20:10:21.619+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000138.mp3
[2024-12-23T20:10:23.903+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000139.mp3
[2024-12-23T20:10:26.199+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000140.mp3
[2024-12-23T20:10:28.600+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000141.mp3
[2024-12-23T20:10:30.866+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000142.mp3
[2024-12-23T20:10:33.175+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000143.mp3
[2024-12-23T20:10:35.440+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000144.mp3
[2024-12-23T20:10:37.748+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/01/20240100000145.mp3
