[2024-12-23T17:17:37.580+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-23T17:17:37.617+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.629+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [queued]>
[2024-12-23T17:17:37.630+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-23T17:17:37.647+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): image_to_datalake> on 2024-12-23 17:17:32.821041+00:00
[2024-12-23T17:17:37.659+0000] {standard_task_runner.py:63} INFO - Started process 241 to run task
[2024-12-23T17:17:37.662+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'streaming_pipeline', 'image_to_datalake', 'manual__2024-12-23T17:17:32.821041+00:00', '--job-id', '136', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_stream.py', '--cfg-path', '/tmp/tmp8szkq4eg']
[2024-12-23T17:17:37.665+0000] {standard_task_runner.py:91} INFO - Job 136: Subtask image_to_datalake
[2024-12-23T17:17:37.733+0000] {task_command.py:426} INFO - Running <TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-23T17:17:32.821041+00:00 [running]> on host 0b4a5bf62610
[2024-12-23T17:20:42.789+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000080.jpg
[2024-12-23T17:20:45.139+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000081.jpg
[2024-12-23T17:20:47.438+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000082.jpg
[2024-12-23T17:20:49.821+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000083.jpg
[2024-12-23T17:20:52.120+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000084.jpg
[2024-12-23T17:20:54.481+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000085.jpg
[2024-12-23T17:20:56.814+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000086.jpg
[2024-12-23T17:20:59.172+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000087.jpg
[2024-12-23T17:21:01.445+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000088.jpg
[2024-12-23T17:21:03.749+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000089.jpg
[2024-12-23T17:21:06.053+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000090.jpg
[2024-12-23T17:21:08.349+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000091.jpg
[2024-12-23T17:21:10.616+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000092.jpg
[2024-12-23T17:21:12.915+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000093.jpg
[2024-12-23T17:21:15.201+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/3/20240300000094.jpg
