[2024-12-24T03:16:21.159+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-24T03:16:21.193+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-24T03:16:17.303836+00:00 [queued]>
[2024-12-24T03:16:21.206+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: streaming_pipeline.image_to_datalake manual__2024-12-24T03:16:17.303836+00:00 [queued]>
[2024-12-24T03:16:21.207+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-24T03:21:49.417+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001256.jpg
[2024-12-24T03:21:51.746+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001257.jpg
[2024-12-24T03:21:54.086+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001258.jpg
[2024-12-24T03:21:56.386+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001259.jpg
[2024-12-24T03:21:58.694+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001260.jpg
[2024-12-24T03:22:00.968+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001261.jpg
[2024-12-24T03:22:03.266+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001262.jpg
[2024-12-24T03:22:05.552+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001263.jpg
[2024-12-24T03:22:07.848+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001264.jpg
[2024-12-24T03:22:10.255+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001265.jpg
[2024-12-24T03:22:12.516+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001266.jpg
[2024-12-24T03:22:14.803+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001267.jpg
[2024-12-24T03:22:17.068+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001268.jpg
[2024-12-24T03:22:19.365+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001269.jpg
[2024-12-24T03:22:21.684+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: image/2024/01/02/20240100001270.jpg
