[2024-12-24T03:16:21.173+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-24T03:20:05.137+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001211.mp3
[2024-12-24T03:20:07.465+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001212.mp3
[2024-12-24T03:20:09.908+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001213.mp3
[2024-12-24T03:20:12.211+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001214.mp3
[2024-12-24T03:20:14.491+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001215.mp3
[2024-12-24T03:20:16.871+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001216.mp3
[2024-12-24T03:20:19.143+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001217.mp3
[2024-12-24T03:20:21.459+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001218.mp3
[2024-12-24T03:20:23.730+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001219.mp3
[2024-12-24T03:20:26.055+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001220.mp3
[2024-12-24T03:20:28.316+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001221.mp3
[2024-12-24T03:20:30.599+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001222.mp3
[2024-12-24T03:20:32.973+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001223.mp3
[2024-12-24T03:20:35.386+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001224.mp3
[2024-12-24T03:20:37.656+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001225.mp3
[2024-12-24T03:20:39.928+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001226.mp3
[2024-12-24T03:20:42.192+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001227.mp3
[2024-12-24T03:20:44.515+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001228.mp3
[2024-12-24T03:20:46.777+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001229.mp3
[2024-12-24T03:20:49.101+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001230.mp3
[2024-12-24T03:20:51.538+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001231.mp3
[2024-12-24T03:20:53.792+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001232.mp3
[2024-12-24T03:20:56.194+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001233.mp3
[2024-12-24T03:20:58.657+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001234.mp3
[2024-12-24T03:21:00.968+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001235.mp3
[2024-12-24T03:21:03.213+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001236.mp3
[2024-12-24T03:21:05.506+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001237.mp3
[2024-12-24T03:21:07.776+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001238.mp3
[2024-12-24T03:21:10.073+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001239.mp3
[2024-12-24T03:21:12.338+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001240.mp3
[2024-12-24T03:21:14.693+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001241.mp3
[2024-12-24T03:21:17.101+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001242.mp3
[2024-12-24T03:21:19.522+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001243.mp3
[2024-12-24T03:21:21.954+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001244.mp3
[2024-12-24T03:21:24.218+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001245.mp3
[2024-12-24T03:21:26.501+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001246.mp3
[2024-12-24T03:21:28.855+0000] {logging_mixin.py:188} INFO - File đã được lưu thành công vào MinIO: speech/2024/01/02/20240100001247.mp3
